pmid,title,journal,date
24440342,Chronic exposure of mice to environmental endocrine-disrupting chemicals disturbs their energy metabolism,Toxicol Lett,2014/01/21
24007788,"High-throughput sequencing and pathway analysis reveal alteration of the pituitary transcriptome by 17α-ethynylestradiol (EE2) in female coho salmon, Oncorhynchus kisutch",Aquat Toxicol,2013/09/07
23680990,Neonatal outcomes of intrauterine nonylphenol exposure--a longitudinal cohort study in Taiwan,Sci Total Environ,2013/05/18
23575985,Bisphenol A modulates calcium currents and intracellular calcium concentration in rat dorsal root ganglion neurons,J Membr Biol,2013/04/12
23127815,In situ forming microparticle implants for delivery of sex steroids in fish: Modulation of the immune response of gilthead seabream by testosterone,Steroids,2012/11/07
23059968,"Oxidative removal of selected endocrine-disruptors and pharmaceuticals in drinking water treatment systems, and identification of degradation products of triclosan",Sci Total Environ,2012/10/13
22239852,Global gene expression changes in human embryonic lung fibroblasts induced by organic extracts from respirable air particles,Part Fibre Toxicol,2012/01/14
22027556,"Prenatal concentrations of polychlorinated biphenyls, DDE, and DDT and overweight in children: a prospective birth cohort study",Environ Health Perspect,2011/10/27
21788424,'Idiopathic' partial androgen insensitivity syndrome in 28 newborn and infant males: impact of prenatal exposure to environmental endocrine disruptor chemicals?,Eur J Endocrinol,2011/07/27
21741673,"Assessment of bisphenol A released from reusable plastic, aluminium and stainless steel water bottles",Chemosphere,2011/07/12
21705715,The synthetic gestagen levonorgestrel impairs metamorphosis in Xenopus laevis by disruption of the thyroid system,Toxicol Sci,2011/06/28
21115274,Risk factors for undescended testis,J Pediatr Urol,2010/12/01
20572746,Biomonitoring in Greenland: human biomarkers of exposure and effects - a short review,Rural Remote Health,2010/06/25
20153348,The membrane estrogen receptor GPR30 mediates cadmium-induced proliferation of breast cancer cells,Toxicol Appl Pharmacol,2010/02/16
20017000,"Occurrence and sources of selected phenolic endocrine disruptors in Ria de Aveiro, Portugal",Environ Sci Pollut Res Int,2009/12/18
19393767,"Endocrine disruptors modulate expression of hepatic choriogenin genes in the hermaphroditic fish, Kryptolebias marmoratus",Comp Biochem Physiol C Toxicol Pharmacol,2009/04/28
19371625,Gene expression profiling in Ishikawa cells: a fingerprint for estrogen active compounds,Toxicol Appl Pharmacol,2009/04/18
19269048,The endocrine activity of beef cattle wastes: do growth-promoting steroids make a difference?,Aquat Toxicol,2009/03/10
18849443,Elevated expression of CYP1A1 and gamma-SYNUCLEIN in human ectopic (ovarian) endometriosis compared with eutopic endometrium,Mol Hum Reprod,2008/10/14
18629315,Early-onset endocrine disruptor-induced prostatitis in the rat,Environ Health Perspect,2008/07/17
18582957,Potential endocrine disruption of sexual development in free ranging male northern leopard frogs (Rana pipiens) and green frogs (Rana clamitans) from areas of intensive row crop agriculture,Aquat Toxicol,2008/06/28
18394690,Developmental programming and endocrine disruptor effects on reproductive neuroendocrine systems,Front Neuroendocrinol,2008/04/09
17613748,"Concentration- and time-dependent effects of the synthetic estrogen, 17alpha-ethinylestradiol, on reproductive capabilities of the zebrafish, Danio rerio",J Toxicol Environ Health A,2007/07/07
17537412,Lindane may modulate the female reproductive development through the interaction with ER-beta: an in vivo-in vitro approach,Chem Biol Interact,2007/06/01
16950525,Vitellogenin synthesis in primary cultures of fish liver cells as endpoint for in vitro screening of the (anti)estrogenic activity of chemical substances,Aquat Toxicol,2006/09/05
16506809,"Urolithins, ellagic acid-derived metabolites produced by human colonic microflora, exhibit estrogenic and antiestrogenic activities",J Agric Food Chem,2006/03/02
